,title,subtitle,authors,publisher,publishdate,description,isbn_13,page_count,main_categories,categories,average_rating,ratings_count,maturity_rating
1646,JLA,Earth 2,['Grant Morrison'],,2000,The super-villains who comprise the Crime Syndicate of Amerika are in a fight to enforce global corruption against the super-heroes of the Justice League of America who are struggling to establish righteousness and freedom.,9781563896316,0,"['Comic books, strips, etc']","['Comic books, strips, etc']",3.5,3,NOT_MATURE
1647,Superfolks,A Novel,['Robert Mayer'],St. Martin's Griffin,2005-03-09,"Before there was WATCHMEN, there was SUPERFOLKS.... David Brinkley used to be a hero, the greatest the world had ever seen--until he retired, got married, moved to the suburbs, and packed on a few extra pounds. Now all the heroes are dead or missing, and his beloved New York is on the edge of chaos. It's up to Brinkley to come to the rescue, but he's in the midst of a serious mid-life crisis--his superpowers are failing him. At long last this classic satire that inspired comic books like Watchmen and Miracleman is back in print. It's a hilarious thriller that digs deep into the American psyche.",9780312339920,240,['Fiction'],['Fiction'],,,NOT_MATURE
1648,Kill Your Boyfriend,,['Grant Morrison'],,1998,,9781563894534,55,['Crime'],['Crime'],,,NOT_MATURE
1649,The Invisibles,Entropy in the U.K.,"['Grant Morrison', 'Phil Jimenez', 'John Stokes', 'Danny Vozzo']",Vertigo,2001,"""The Invisibles created by Grant Morrison.""",9781563897283,229,['Comics & Graphic Novels'],['Comics & Graphic Novels'],3,1,NOT_MATURE
1650,Invisible,,['Pete Hautman'],Simon & Schuster Books for Young Readers,2006-11-28,"You could say that my railroad, the Madham Line, is almost the most important thing in my life. Next to Andy Morrow, my best friend. Lots of people think Doug Hanson is a freak -- he gets beat up after school, and the girl of his dreams calls him a worm. Doug's only refuge is creating an elaborate bridge for the model railroad in his basement and hanging out with his best friend, Andy Morrow, a popular football star who could date any girl in school. Doug and Andy talk about everything -- except what happened at the Tuttle place a few years back. It does not matter to Andy that we live in completely different realities. I'm Andy's best friend. It does not matter to Andy that we hardly ever actually do anything together. As Doug retreats deeper and deeper into his own reality, long-buried secrets threaten to destroy both Doug and Andy -- and everything else in Doug's fragile world.",9780689869037,0,['Young Adult Fiction'],['Young Adult Fiction'],2.5,2,NOT_MATURE
1651,Invisible Residents,The Reality of Underwater UFOs,['Ivan T. Sanderson'],Adventures Unlimited Press,2005,"This book is a groundbreaking contribution to the study of the UFO enigma, originally published over 30 years ago. In this book, Sanderson, a renowned zoologist with a keen interest in the paranormal, puts forward the curious theory that a oeOINTS""-Other Intelligences-live under the Eartha (TM)s oceans. This underwater, parallel, civilization may be twice as old as Homo sapiens, he proposes, and may have a oedeveloped what we call space flight."" Sanderson postulates that the OINTS are behind many UFO sightings as well as the mysterious disappearances of aircraft and ships in the Bermuda Triangle. What better place to have an impenetrable base than deep within the oceans of the planet? Yet, if UFOs, or at least some of them, are coming from beneath our oceans or lakes, does it necessarily mean that there is another civilization besides our own that is responsible? In fact, could it be that since WWII a number of underwater UFO bases have been constructed by the very human governments of our planet? Whatever their source, Sanderson offers here an exhaustive study of USOs (Unidentified Submarine Objects) observed in nearly every part of the world. He presents many well-documented and exciting case studies of these unusual sightings; more.",9781931882200,292,"['Body, Mind & Spirit']","['Body, Mind & Spirit']",5,1,NOT_MATURE
1652,The Invisibles,Counting to none,"['Grant Morrison', 'Phil Jimenez']",Vertigo,1999,"""Originally published in single magazine form as The Invisibles Volume Two 5-13 and Vertigo Winter's Edge 1.""",9781563894893,0,['Anarchists'],['Anarchists'],5,2,NOT_MATURE
1653,The Invisible Heart,An Economic Romance,['Russell Roberts'],MIT Press,2002-02-22,"A lively, unorthodox look at economics, business, and public policy told in the form of a novel. A love story that embraces the business and economic issues of the day? The Invisible Heart takes a provocative look at business, economics, and regulation through the eyes of Sam Gordon and Laura Silver, teachers at the exclusive Edwards School in Washington, D.C. Sam lives and breathes capitalism. He thinks that most government regulation is unnecessary or even harmful. He believes that success in business is a virtue. He believes that our humanity flourishes under economic freedom. Laura prefers Wordsworth to the Wall Street Journal. Where Sam sees victors, she sees victims. She wants the government to protect consumers and workers from the excesses of Sam's beloved marketplace. While Sam and Laura argue about how to make the world a better place, a parallel story unfolds across town. Erica Baldwin, the crusading head of a government watchdog agency, tries to bring Charles Krauss, a ruthless CEO, to justice. How are these two dramas connected? Why is Sam under threat of dismissal? Will Erica Baldwin find the evidence she needs? Can Laura love a man with an Adam Smith poster on his wall? The answers in The Invisible Heart give the reader a richer appreciation for how business and the marketplace transform our lives.",9780262681353,283,['Business & Economics'],['Business & Economics'],4,3,NOT_MATURE
1654,Transmetropolitan: Lonely city,,['Warren Ellis'],,2004,"Chronicles the battles of Spider Jerusalem, infamous renegade journalist of the future. Spider dedicates himself to fighting the corruption and abuse of power of two successive United States presidents; he and his assistants strive to keep their world from becoming worse than it already is while dealing with the struggles of fame and power, brought about due to the popularity of Spider via his articles.",9781563897221,0,['Antiheroes'],['Antiheroes'],,,NOT_MATURE
1655,Transmetropolitan: Back on the street,,['Warren Ellis'],,1998,"An exuberant trip into a frenetic future, where outlaw journalist Spider Jerusalem battles hypocrisy, corruption, and sobriety.",9781401202170,,['Antiheroes'],['Antiheroes'],4,19,NOT_MATURE
1656,Transmetropolitan: The cure,,"['Warren Ellis', 'Darick Robertson']",Vertigo,1998,"After he exposes corruption in the highest level of government, journalist Spider Jerusalem is hunted by professional assassins paid for by the President of the United States.",9781563899881,144,['Comics & Graphic Novels'],['Comics & Graphic Novels'],3.5,36,NOT_MATURE
1657,Spider's Thrash,,['Warren Ellis'],Vertigo,1998,"""Original covers by Tim Bradstreet, Matt Wagner.""",9781563898945,0,['Antiheroes'],['Antiheroes'],,,NOT_MATURE
1658,You are Being Lied to,"The Disinformation Guide to Media Distortion, Historical Whitewashes and Cultural Myths",['Russell Kick'],,2001,"This book acts as a battering ram against the distortions, myths and outright lies that have been shoved down our throats by the government, the media, corporations, organized religion, the scientific establishment and others who want to keep the truth from us. A group of researchers - investigative reporters, political dissidents, academics, media watchdogs, scientist-philosophers, social critics and rogue scholars - paints a picture of a world where crucial stories are ignored or actively suppressed and the official version of events has more holes in it than Swiss cheese. A world where real dangers are downplayed and nonexistent dangers are trumpeted. In short, a world where you are being lied to. You'll discover that a human being has already been cloned; Joseph McCarthy was not paranoid; museums refuse to display artifacts that conflict with the theory of evolution; the CIA has admitted to involvement in the drug trade; parents don't affect who their children become; plus further revelations involving Columbine, WWII, textbooks, Al Gore, George W. Bush, Timothy Leary and much more.",9780966410075,399,['Language Arts & Disciplines'],['Language Arts & Disciplines'],3.5,6,NOT_MATURE
1659,The Origin of Species,,"['Charles Darwin', 'Philip Appleman']",W W Norton & Company Incorporated,2002,"Here is the revised edition of Charles Dawrin's The Origin of Species, introduced and abridged by Philip Appleman, published by W. W. Norton.",9780393978674,134,['Science'],['Science'],5,1,NOT_MATURE
1660,Red Herrings and White Elephants,The Origins of the Phrases We Use Every Day,['Albert Jack'],Harper,2005-11-01,"Mad hatter . . . pie in the sky . . . egg on your face. We use these phrases every day, yet how many of us know what they really mean or where they came from? From bringing home the bacon to leaving no stone unturned, the English language is peppered with hundreds of common idioms borrowed from ancient traditions and civilizations throughout the world. In Red Herrings and White Elephants, Albert Jack has uncovered the amazing and sometimes downright bizarre stories behind many of our most familiar and eccentric modes of expression: If you happen to be a bootlegger, your profession recalls the Wild West outlaws who sold illegal alcohol by concealing slender bottles of whiskey in their boots. If you're on cloud nine, you owe a nod to the American Weather Bureau's classification of clouds, the ninth topping out all others at a mountainous 40,000 feet. If you opt for the hair of the dog the morning after, you're following the advice of medieval English doctors, who recommended rubbing the hair of a dog into the wound left by the animal's bite. A delightful compendium of anecdotes on everything from minding your p's and q's to pulling out all the stops, Red Herrings and White Elephants is an essential handbook for language-lovers of all ages.",9780060843373,272,['Reference'],['Reference'],,,NOT_MATURE
1661,The Origin of Satan,"How Christians Demonized Jews, Pagans, and Heretics",['Elaine Pagels'],Vintage,1996-04-30,"From the religious historian whose The Gnostic Gospels won both the National Book Award and the National Book Critics Circle Award comes a dramatic interpretation of Satan and his role on the Christian tradition. With magisterial learning and the elan of a born storyteller, Pagels turns Satan’s story into an audacious exploration of Christianity’s shadow side, in which the gospel of love gives way to irrational hatreds that continue to haunt Christians and non-Christians alike.",9780679731184,242,['Religion'],['Religion'],3.5,14,NOT_MATURE
1662,On the Origins of War,And the Preservation of Peace,['Donald Kagan'],Anchor,1996-01-01,"A brilliant and vitally important history of why states go to war, by the acclaimed, award-winning author of The Peloponnesian War. War has been a fact of life for centuries. By lucidly revealing the common threads that connect the ancient confrontations between Athens and Sparta and between Rome and Carthage with the two calamitous World Wars of the twentieth century, renowned historian Donald Kagan reveals new and surprising insights into the nature of war and peace. Vivid, incisive, and accessible, Kagan's powerful narrative warns against complacency and urgently reminds us of the importance of preparedness in times of peace.",9780385423755,625,['History'],['History'],4.5,3,NOT_MATURE
1663,The Origins of Totalitarianism,,['Hannah Arendt'],Schocken,2004,"In [this book, the author] provide[s] a historical account of the forces that crystallized into totalitarianism: The ebb and flow of nineteenth-century anti-Semitism (she deemed the Dreyfus Affair a dress rehearsal for the Final Solution) and the rise of European imperialism, accompanied by the invention of racism as the only possible rationalization for it. For [the author,] totalitarianism was a form of governance that eliminated the very possibility of political action. Totalitarian leaders attract both mobs and elites, take advantage of the unthinkability of their atrocities, target ""objective enemies"" (classes of people who are liquidated simply because of their group membership), use terror to create total loyalty, rely on concentration camps, and are obsessive in their pursuit of global primacy. But even more presciently, [she] understood that totalitarian solutions could well survive the demise of totalitarian regimes.-Dust jacket.",9780805242256,0,['Antisemitism'],['Antisemitism'],,,NOT_MATURE
1664,The Origin of the Bible,,['Philip W. Comfort'],"Tyndale House Publishers, Inc.",2003,"Many books have been written about the Bible, but few explain its origins. This volume provides a fascinating overview of how the Bible was first inspired, canonized, read as sacred literature, copied in ancient Hebrew and Greek manuscripts, and eventually translated into the languages of the world. No other one-volume work can match this wealth of information about the historical development of the Bible.",9780842383677,350,['Bible'],['Bible'],4.5,8,NOT_MATURE
1665,The Beatles and Philosophy,Nothing You Can Think that Can't be Thunk,"['Michael Baur', 'Steven Baur']",Popular Culture and Philosophy,2006,"""A collection of essays explores philosophical aspects of the Beatles' music, lyrics, and political acitivities. Topics addressed include: skepticism and epistemology, the philosophy of love, altered consciousness and drug culture, and Marxism and social philosophy""--Provided by publisher.",9780812696066,330,['Philosophy'],['Philosophy'],3,1,NOT_MATURE
