isbn,Main Category,Categories,Description
1740592050,,Travel,"'Out to Eat - London 2002' dishes up over 380 individually recommended restaurants, cafes and pubs. Whether you crave haute cuisine in Soho or a hotpot in the suburbs, Out to Eat' will steer you to London’s top tables, favourite local haunts and beyond. Including - get the lowdown - each review covers price ranges, noise levels and vegetarian options; - find it fast - quick-scan index shows you where's best to dine alfresco, close that business deal or entertain the kids; - arrive on time - easy-to-use maps show all locations and nearest transport options; - be inspired - lively features reveal unusual eateries and the latest trends."
618710531,,,
60512806,,,
2228894168,,,"Décrypter les codes secrets de l'Axe. Voler le plus précieux trésor de guerre des nazis. Inventer la machine à calculer électronique. Affronter les multinationales et les gangs asiatiques. Bâtir un empire informatique virtuel. Autant de défis capables de changer l'histoire. Techno-thriller, aventure historique ou plongée au cœur des sciences exactes ? Tout simplement, le premier grand roman du nouveau millénaire."
60733357,,,
60593083,,,
553383442,,,
380816032,,,
553380966,,,
553383434,,,
60833181,,,
553380958,,,
1880685353,,,
1880685337,,,
465067107,,,
465051367,,,
465067093,,,
898709199,,,
60887966,,,
61122416,,,
142150460X,,,
1591169259,,,
1421504596,,,
1591169208,,,
1591169291,,,
006019250X,,,
1591169232,,,
812974611,,,
158715739X,,Pompeii (Extinct city),"This is the classic Victorian tale of the last days of Pompeii, the doomed city that lay at the feet of Mount Vesuvius. From poets to flower-girls, gladiators to Roman tribunes, here is a plausible story of their lives, their loves, and the tragic fate that awaited them."
142000671,,,
60554738,,,
014240120X,,,
808553038,,,
1400096898,,,
739326228,,,
99498189,,,
1557046832,,,
99771519,,,
074343059X,,,
1932664394,,Americans,"Joel is running out of time to let Hana know how he feels. Will he get up the nerve soon, stay another year, or go home without making his move?"
521750849,,,
802415318,,,
1416524797,,,
849561877X,,Illuminati,"El arma más poderosa creada por el hombre, una organización secreta sedienta de venganza... y apenas unas horas para evitar el desastre. La eterna pugna entre ciencia y religión se ha convertido en una guerra muy real. En un laboratorio de máxima seguridad, aparece asesinado un científico con un extraño símbolo grabado a fuego en su pecho. Para el profesor Robert Langdon no hay duda: los Illuminati, los hombres enfrentados a la Iglesia desde los tiempos de Galileo, han regresado. Y esta vez disponen de la más mortífera arma que ha creado la humanidad, un artefacto con el que pueden ganar la batalla final contra su eterno enemigo. Acompañado de una joven científica y un audaz capitán de la Guardia Suiza, Langdon comienza una carrera contra reloj, en una búsqueda desesperada por los rincones más secretos de El Vaticano. Necesitará todo su conocimiento para descifrar las claves ocultas que los Illuminati han dejado a través de los siglos en manuscritos y templos, y todo su coraje para vencer al despiadado asesino que siempre parece llevarle la delantera. El autor de El Código Da Vinci nos arrastra a una espiral de acción sin pausa, un impactante thriller donde se suceden las sorpresas y se revelan algunos de los más oscuros enigmas de la historia. Fuerzas que han permanecido ocultas durante siglos y que ahora planean destruir la Iglesia... literalmente."
972859896,,,
307277674,,,
076792603X,,,
2266144340,,,
1416524800,,,
552151769,,,
593055071,,,
078601606X,,Fiction,"A deep freeze is bearing down on the Florida Everglades. For Detective Louis Kincaid, the coldest night of the year brings a grisly discovery that will lead him into a nightmarish battle of wits with a ruthless predator."
671015206,,,
1585424331,,,
1932429239,,,
977616657,,,
1563410907,,,
345479173,,,
451205367,,,
1419349996,,,
1400098033,,Fiction,"A classic spy novel from the bestselling author, Trevanian, about a westerner raised in Japan who becomes one of the world's most accomplished assassins. Nicholai Hel is the world’s most wanted man. Born in Shanghai during the chaos of World War I, he is the son of an aristocratic Russian mother and a mysterious German father and is the protégé of a Japanese Go master. Hel survived the destruction of Hiroshima to emerge as the world’s most artful lover and its most accomplished—and well-paid—assassin. Hel is a genius, a mystic, and a master of language and culture, and his secret is his determination to attain a rare kind of personal excellence, a state of effortless perfection known only as shibumi. Now living in an isolated mountain fortress with his exquisite mistress, Hel is unwillingly drawn back into the life he’d tried to leave behind when a beautiful young stranger arrives at his door, seeking help and refuge. It soon becomes clear that Hel is being tracked by his most sinister enemy—a supermonolith of international espionage known only as the Mother Company. The battle lines are drawn: ruthless power and corruption on one side, and on the other . . . shibumi."
743226720,,,
140481397,,,
226014908,,,
1416500189,,,
310258979,,,
60838582,,,
141006870,,,
812968069,,,
385340540,,,
394720245,,,
345480600,,,
60193395,,,
1579546013,,,
972018417,,,
471743674,,,
471430455,,,
805431578,,,
679838864,,,
373250711,,,
140143459,,,
802732291,,,
1841721476,,Cooking (Rice),"Risotto, Italy's most famous rice dish, is enjoyed the world over. It's utterly delicious and nutritious, versatile and economical ; and can be prepared in only 20 minutes. 30 authentic risotto recipes ; inspired by the regional cooking of Italy ; in three simple chapters: Cheese, Beans and Vegetables."
030723827X,,"Cooking, Italian","Giada is back with a new batch of simple recipes geared toward family meals--Italian style. These unpretentious meals are at the center of some of Giada's warmest memories of sitting around the table with her family, passing bowls of wonderful food, and laughing over old times. Recipes for soups like Escarole and Bean and hearty sandwiches such as the classic Italian Muffuletta make casual, easy suppers, while one-pot dinners like Giada's Chicken Vesuvio and Veal Stew with Cipollini Onions are just as simple but elegant enough for company. You'll also find recipes for holiday favorites you'll be tempted to make all year round, including Easter Pie, Turkey and Ciabatta Stuffing with Chestnuts and Pancetta, and Panettone Bread Pudding with Amaretto Sauce.--From publisher description."
1400052580,,,
307346587,,,
1400052386,,,
609609971,,,
1400052378,,,
61234001,,,
8466625127,,,
61245135,,,
399153594,,,
156030209,,,
828808392,,,
140285970,,,
307276902,,,
1411677315,,,
61171468,,,
787968331,,,
446394599,,,
131494848,,,
316861014,,,
60574216,,,
60192771,,,
006123205X,,,
735200300,,,
553381679,,,
517542021,,,
393324818,,,
744005612,,,
140280197,,,
055338368X,,,
553295411,,,
812590104,,,
038551641X,,,
553381393,,,
553382047,,,
446691437,,,
826413013,,,
811701646,,,
140442758,,,
192802771,,,
140449744,,,
879756322,,,
189031823X,,,
872207889,,,
801435307,,,
872204626,,,
140449043,,,
140449086,,,
140446389,,,
879757779,,,
192824252,,,
140440348,,,
393959465,,,
375400613,,,
226327701,,,
140275363,,,
872203522,,,
374529051,,,
147712556,,,
140447946,,,
451527372,,,
872205428,,,
143039954,,,
374525749,,,
60931957,,,
140449116,,,
451527364,,,
086516584X,,,
067499583X,,,
1891190237,,,
192837680,,,
155832125X,,Cooking,The author offers up 175 recipes that impart bold zesty flavor to every cut of meat!
141000589,,,
517092948,,,
521618746,,,
1557831572,,,
006251279X,,,
62513346,,,
60527986,,,
60832819,,,
61122092,,,
60930136,,,
61124265,,,
140714545,,,
764586033,,,
764585681,,,
879232153,,,
674991206,,,
872201686,,,
674991222,,,
872203948,,,
393971678,,,
674991877,,,
929524357,,,
226307808,,,
226307840,,,
226307832,,,
1590171802,,,
553213636,,,
226307824,,,
226307816,,,
140449299,,,
674995600,,,
521643864,,,
140447261,,,
195125983,,,
413752801,,,
486424626,,,
393325830,,,
192832603,,,
674995333,,,
195061667,,,
067499566X,,,
195145666,,,
071563187X,,Literary Collections,"Euripides' ""Medea"" is one of the greatest and most influential Greek tragedies. This book outlines the development of the Medea myth before Euripides and explores his uniquely powerful version from various angles. There are chapters on the play's relationship to the gender politics of fifth-century Athens, Medea's status as a barbarian, and the complex moral and emotional impact of her revenge. Particular attention is paid to the tragic effect of Medea's great monologue and the significance of her role as a divine avenger. The book ends by considering the varied and fascinating reception of Euripides' play from antiquity to the present day."
822004240,,,
674995740,,,
674996003,,,
715629948,,,
226307662,,,
226307786,,,
226307948,,,
019513592X,,,
140443339,,,
872203905,,,
140441123,,,
374527059,,,
081221627X,,,
226307646,,,
521539811,,,
1400041929,,,
812216717,,,
486292428,,,
1419150014,,,
226307867,,,
452011671,,,
451527844,,,
015602764X,,,
140444254,,,
872205851,,,
679431322,,,
140440283,,,
192835882,,,
1580495931,,,
451621603,,,
521617359,,,
1416500332,,,
452007178,,,
415907446,,,
553213431,,,
812234561,,,
872203611,,,
140448144,,,
1585100870,,,
199120099,,,
674995376,,,
140441522,,,
156027658,,,
674995961,,,
822007762,,,
198721595,,,
451616227,,,
198140819,,,
872206033,,,
140443320,,,
521774330,,,
1400032717,,,
316156507,,,
743482778,,,
743271327,,,
142000280,,,
1576751724,,,
843392463X,,,
8433968777,,,
1862076650,,,
8433924710,,,
8433924621,,,
321317106,,,
321365208,,,
8432216429,,,
1565480848,,,
679783199,,,
1565481240,,Devotional literature,"""Written as a favor for a friend, this 'little work' of Saint Augustine is a wonderful explanation of the Christian faith, a true catechism. From it other catechisms throughout the history of the Church have sprung up, including the recent Catechism of the Catholic Church, which quotes Augustine extensively.""--Back cover"
520227573,,,
24021504,,,
872201864,,,
143035983,,,
192854526,,,
1565482018,,,
60934913,,,
8466308954,,,
156001268,,,
014044789X,,Poetry,"Ovid’s sensuous and witty poem, in an accessible translation by David Raeburn In Metamophoses, Ovid brings together a dazzling array of mythological tales, ingeniously linked by the idea of transformation—often as a result of love or lust—where men and women find themselves magically changed into new and sometimes extraordinary beings. Beginning with the creation of the world and ending with the deification of Augustus, Ovid interweaves many of the best-known myths and legends of ancient Greece and Rome, including Daedalus and Icarus, Pyramus and Thisbe, Pygmalion, Perseus and Andromeda, and the fall of Troy. Erudite but light-hearted, dramatic and yet playful, Metamorphoses has influenced writers and artists throughout the centuries from Shakespeare and Titian to Picasso and Ted Hughes. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
393058107,,,
806128941,,,
806114568,,,
814317324,,,
674992555,,,
520242602,,,
674990471,,,
674990463,,,
814326110,,,
806115602,,,
069101597X,,,
195143108,,,
195143736,,,
130158852,,,
1857150600,,,
226301192,,,
521315794,,,
521011760,,,
521479347,,,
1585424838,,,
767907434,,,
743233212,,,
743270606,,,
393061310,,,
865475091,,,
385486804,,,
785268839,,,
743246985,,,
044657967X,,,
515142395,,,
439227143,,,
037582538X,,,
1591583667,,,
805063897,,,
394417755,,,
140268685,,,
140137343,,,
014025157X,,Performing Arts,The Making of Pride and Prejudice reveals in compelling detail how Jane Austen's classic novel was transformed into the stunning television drama starring Colin Firth and Jennifer Ehle. It vividly brings to life every stage of production of this sumptuous series.
192802380,,,
143036238,,,
486440915,,,
1593083246,,,
1400032806,,,
375752676,,,
385494785,,,
067978361X,,,
374292795,,,
8427032226,,,
898868092,,,
590422677,,,
451529308,,,
1402714580,,,
439101360,,,
517221160,,,
1931082731,,,
1904633277,,,
743487605,,,
1593081383,,,
158663352X,,,
1593080557,,Fiction,"Presents the classic tale of love, courage, and sacrifice set against the cataclysmic events of the French Revolution."
1857151437,,,
067179227X,,,
1405228180,,,
517093391,,,
375760059,,,
451530047,,,
671882368,,,
670030775,,,
140436146,,,
465031269,,,
60183071,,,
822533898,,,
043932162X,,,
826452329,,,
747584664,,,
765342510,,,
765342537,,,
765342529,,,
413772780,,,
1420926713,,,
198144962,,,
521834341,,,
1573921335,,Drama,"The women of Athens concoct a dating scheme: to infiltrate the male-dominated Assembly disguised as men and to vote themselves into power, after which they will overturn the old laws and inaugurate a new society where all are equal and where property - sex, too! - is shared. This new translation by Robert Mayhew of one of playwright Aristophanes' last surviving plays recaptures the spirit, the bawdiness, and the brilliance of this rollicking farce which is at the same time a profound critique of contemporary Greek customs and manners. A full introduction and explanatory notes provide important background material on communistic ideas current in fifth- and fourth-century B.C.E. Greek thought as well as on historical and other details relevant to the text."
198145047,,,
1853991147,,,
1883011086,,,
