isbn,Main Category,Categories,Description
140004314X,,Biography & Autobiography,"NEW YORK TIMES BESTSELLER • NATIONAL BOOK AWARD WINNER • From one of America’s iconic writers, a stunning book of electric honesty and passion that explores an intensely personal yet universal experience: a portrait of a marriage—and a life, in good times and bad—that will speak to anyone who has ever loved a husband or wife or child. Several days before Christmas 2003, John Gregory Dunne and Joan Didion saw their only daughter, Quintana, fall ill with what seemed at first flu, then pneumonia, then complete septic shock. She was put into an induced coma and placed on life support. Days later—the night before New Year’s Eve—the Dunnes were just sitting down to dinner after visiting the hospital when John Gregory Dunne suffered a massive and fatal coronary. In a second, this close, symbiotic partnership of forty years was over. Four weeks later, their daughter pulled through. Two months after that, arriving at LAX, she collapsed and underwent six hours of brain surgery at UCLA Medical Center to relieve a massive hematoma. This powerful book is Didion’ s attempt to make sense of the “weeks and then months that cut loose any fixed idea I ever had about death, about illness ... about marriage and children and memory ... about the shallowness of sanity, about life itself."
374522219,,,
679754865,,,
679752862,,,
374521727,,,
679754857,,,
307264874,,,
374529949,,,
143039830,,,
140097317,,,
014009735X,,,
940650762,,,
963188925,,,
312426232,,,
140115854,,,
140154078,,,
805081453,,,
140178139,,,
811214982,,,
2742741461,,,
143036556,,,
446579785,,,
052138673X,,,
743203046,,,
034543871X,,,
393318281,,,
1599869942,,,
806519606,,,
822549204,,,
932813860,,,
373792689,,,
974514055,,,
764585975,,,
307281701,,,
812969707,,,
60255080,,,
330485385,,,
159413023X,,Fiction,"The spirit of fourteen-year-old Susie Salmon describes her murder, her surprise at her new home in heaven, and her witness to her family's grief, efforts to find the killer, and attempts to come to terms with what has happened."
345360354,,,
321303474,,,
321430840,,,
3822840858,,,
743264460,,,
743236017,,,
553572490,,,
60589469,,,
802789471,,,
688060692,,,
185960515X,,,
1592530877,,,
451528808,,,
192833987,,,
486451380,,,
452011876,,,
451163087,,,
452286751,,,
451163931,,,
452281253,,,
451187849,,,
451147952,,,
452274044,,,
471791431,,,
553803816,,,
375755195,,,
1592283195,,,
975599518,,,
374502005,,,
307263940,,,
312405545,,,
019517013X,,,
1400079497,,Fiction,"NATIONAL BESTSELLER • The chilling bestselling alternate history novel of what happens to one family when America elects a charismatic, isolationist president whose government embraces a folksy anti-Semitism—from the Pulitzer Prize–winning author of American Pastoral. “A terrific political novel.... Sinister, vivid, dreamlike...You turn the pages, astonished and frightened.” —The New York Times Book Review In an extraordinary feat of narrative invention, Philip Roth imagines an alternate history where Franklin D. Roosevelt loses the 1940 presidential election to heroic aviator and rabid isolationist Charles A. Lindbergh. Shortly thereafter, Lindbergh negotiates a cordial ""understanding"" with Adolf Hitler, while the new government embarks on a program of folksy anti-Semitism."
688171621,,,
60932686,,,
1400034957,,Fiction,"Un hombre regresa al pueblo donde ocurrió un asesinato desconcertante 27 años atrás, con la determinación de descubrir la verdad. Todos parecen estar de acuerdo en que Bayardo San Román, sólo unas horas después de su matrimonio con la bella Angela Vicario, la devuelve por deshonrada a la casa paterna. La atribulada familia fuerza a la novia a revelar el nombre de su primer amante; y los hermanos gemelos de ella anuncian su intención de matar a Santiago Nasar por haber deshonrado a su hermana. Sin embargo, si todos sabían que se iba a cometer un asesinato, ¿por qué nadie trató de impedirlo? Cuanto más se sabe de este asunto, menos se comprende, y cuando la historia al fin se precipita a su inesperada conclusión, una sociedad entera —no sólo un par de asesinos— está siendo enjuiciada. ENGLISH DESCRIPTION A man returns to the town where a baffling murder took place 27 years earlier, determined to get to the bottom of the story. Just hours after marrying the beautiful Angela Vicario, everyone agrees, Bayardo San Roman returned his bride in disgrace to her parents. Her distraught family forced her to name her first lover; and her twin brothers announced their intention to murder Santiago Nasar for dishonoring their sister. Yet if everyone knew the murder was going to happen, why did no one intervene to stop it? The more that is learned, the less is understood, and as the story races to its inexplicable conclusion, an entire society--not just a pair of murderers—is put on trial."
307350428,,,
307350444,,,
140003454X,,,
1400095808,,,
375708111,,,
086171492X,,"Body, Mind & Spirit","Practicing meditation under difficult conditions, Upsasika Kee eventuallyroke through to complete inner peace. Here is her achievement -- direct,lain-spoken talks on how to deal with sickness, how to allow suffering andtress to always 'disband,' as she calls it, and how to how to keep the mindentered. Upasika Kee was a uniquely powerful teacher. Evocative of the greatjahn Chah, her teachings are earthy, refreshingly direct, and often funny.n the twentieth century, she grew to become one of the most famous teachersn Thailand-male or female-all the more remarkable because, rarer still, sheas a layperson!"
184353584X,,,
1740594770,,,
8408064762,,,
