id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
yo1cY74uabMC,The Legend of Luke,"9780142501092, 0142501093",384,"June 2, 2005",Trade paperback,Penguin Young Readers Group,English,Brian Jacques,,"January 10, 1999","Fantasy, Fantasy Fiction, Children's literature","Juvenile Fiction / Action & Adventure / General, Juvenile Fiction / Animals / Mice, Hamsters, Guinea Pigs, etc., Juvenile Fiction / Fantasy & Magic, Animals -- Juvenile fiction, Animals -- Stories, Fantasy fiction, Fantasy fiction -- Juvenile fiction, Mice -- Juvenile fiction, Mice -- Stories, Redwall Abbey (Imaginary place) -- Juvenile fiction, YOUNG ADULT FICTION / Action & Adventure / General, YOUNG ADULT FICTION / Animals / Pets, YOUNG ADULT FICTION / Boys & Men, Animals -- Fiction, Children's stories, Fantastic fiction, Fantasy, Fantasy -- Juvenile fiction, Fantasy fiction, English, Good and evil -- Juvenile fiction, Mice -- Fiction, Redwall Abbey (Imaginary place)",,,,"The Redwall series is soon to be a Netflix original movie!

In this twelfth book of the masterful Redwall epic, storyteller Brian Jacques goes back in time to the days before Redwall, revealing with dramatic poignancy the legend of the first of the magnificent Redwall warriors--Luke, father of Martin.

Joined by Trimp the Hedgehog, Dinny Foremole, and Gonff--the ever-mischievous Prince of Mousethieves--it is that legend Martin hopes to discover when he embarks on a perilous journey to the northland shore, where his father abandoned him as a child. There, within the carcass of a great red ship--broken in half and wedged high up between pillars of stone--he finally uncovers what he has been searching for: the true story of the evil pirate stoat, Vilu Daskar, and the valian...",A Tale from Redwall
xtiusomLTBUC,Redwall (Tale of Redwall),"9781862301382, 1862301387",352,2006,Paperback,Red Fox,English,Brian Jacques,Gary Chalk,2002,,"Fantasy fiction, Animals -- Fiction, Animals -- Juvenile fiction, Children's stories, Fantasy, Fantasy fiction -- Juvenile, Mice -- Fiction, Mice -- Juvenile fiction, Premier's reading challenge 7-9 (purple), Redwall Abbey (Imaginary place) -- Juvenile fiction, Young adult fiction",,,,"Redwall Abbey, tranquil home to a community of peace-loving mice, is threatened by Cluny the Scourge - the evil one-eyed rat warlord - and his battle-hardened horde of predators.",
FiMMFYsyuNwC,Anne of Avonlea,,315,1990,Hardcover,Grosset & Dunlap Publishers,English,Lucy Maud Montgomery,Clare Sieffert,1909,"Novel, Fiction, Children's literature","Prince Edward Island -- Fiction, Teachers -- Fiction, Canada -- Juvenile fiction -- History -- 1914-1945, Country life -- Juvenile fiction -- Prince Edward Island, GIRLS' STORIES., Islands -- Juvenile fiction, Orphans -- Juvenile fiction, Prince Edward Island -- Juvenile fiction, Prince Edward Island -- Juvenile fiction -- History -- 20th century, Teachers -- Juvenile fiction",,,,"Five years after coming to Green Gables, Anne is sixteen and teaching at her old school, set on inspiring youthful hearts and minds with ideals and ambitions. Meanwhile, the young orphan Davy and the Avonlea Improvement Society bring their own headaches for a harumscarum girl trying to grow up.",An Anne of Green Gables Story
Oh3mAQAACAAJ,Dark Birthright,"9780972167482, 097216748X",429,October 2006,Paperback,Bruce & Bruce,English,Jeanne Treat,,October 2006,"Fantasy Fiction, Historical Fiction","Scotland -- Fiction, Scotland -- Fiction -- History",,,,"In 1619 in Scotland, a time of intolerance, when Catholics and Protestants disagree and healers are hanged as witches, a child born of mysterious parentage is given to fisher folk to raise as their son. Dughall grows up in a family bound by love and morality, becomes a healer, and displays psychic abilities. His life is torn apart when he's claimed by his real father, a cruel and powerful lord who tries to mold him in his image. Dughall must define himself, in the midst of a struggle between an Earl, a Duke, and the family who wants him back. All the while, he's determined to marry the lass he left behind. Dark Birthright is a story reflecting the political, religious, and cultural dynamics of 17th century Scotland. It paints a picture of life in the Highlands, as well as the fisher folk and a village of witches worshipping the Goddess",
j-cTAAAACAAJ,The Laura Ingalls Wilder Country Cookbook,"9780064461962, 0064461963",152,September 1997,Paperback,HarperCollins,English,William Anderson,Leslie A. Kelly,,,"Cooking, American, Cooking, American -- Juvenile literature",,,,"Now you can share Laura Ingalls Wilder's classic country cooking in a convenient new paperback edition of this lovely cookbook. Over 70 of Laura's original recipes, updated for a modern kitchen, are enriched with anecdotes about the Wilders by noted historian William Anderson. Leslie Kelly's handsome full-color photographs of the Rocky Ridge farmhouse bring Laura's recipes to life.",
F2seCz7wmfQC,The Phenomenon of Life,,303,2001,Paperback,Northwestern University Press,English,Hans Jonas,,1966,,"Existentialism, Life, Medicine -- Philosophy, Philosophy / Movements / Phenomenology, Science / Philosophy & Social Aspects",,,,"A classic of phenomenology and existentialism, The Phenomenon of Life sets forth a systematic and comprehensive philosophy--an existential interpretation of biological facts laid out in support of his claim that the mind is prefigured throughout organic existence. Hans Jonas shows how life-forms present themselves on an ascending scale of perception and freedom of action, a scale reaching its apex in a human being's capacity for thought and morally responsible behavior.",Toward a Philosophical Biology
lTzrsOMvcNcC,My Little House Crafts Book,"9780064462044, 0064462048",64,"March 21, 1998",Paperback,HarperCollins,English,Carolyn Strom Collins,Mary Collier,"March 21, 1998",,"Juvenile Nonfiction / Activity Books / General, Juvenile Nonfiction / Crafts & Hobbies, Juvenile Nonfiction / History / United States / 19th Century, Frontier and pioneer life -- Juvenile literature -- Great Plains, Handicraft -- Juvenile literature, Handicraft for children, Needlework -- Juvenile literature, Frontier and pioneer life, Handicraft",,,,"Make the same pioneer crafts that Laura did! In her beloved Little House books, Laura Ingalls Wilder tells of her pioneer childhood growing up on the frontier. Because the Ingallses often lived far away from any stores, and because they had little money, Laura and her family had to make most of their own household items, using whatever materials were available. Now, with MY LITTLE HOUSE CRAFTS BOOK, you can share a part of Laura's pioneer days by learning how to make the same things that she and her family made for their little homes on the frontier. Inside this book are easy, step-by-step instructions for 18 crafts taken straight from the pages of Laura's Little House books. All you need to get started are a few simple supplies, and you're on your way to making fun and useful pioneer crafts that you'll cherish forever.",18 Projects from Laura Ingalls Wilder's
1DsEAAAACAAJ,Flowers,"9780789422132, 0789422131",61,1997,Paperback,DK Pub.,English,David Burnie,,October 1992,,"Flowers -- Juvenile literature -- Identification, Wild flowers -- Juvenile literature -- Identification",,,,"...these books are worthwhile reading and can be used to stimulate children to learn about, investigate, and appreciate the natural world around them. -- Science Books & Films",
YqphPwAACAAJ,Jefferson Bible,"9781557091840, 1557091846",104,August 2006,Hardcover,Applewood Books,English,Thomas Jefferson,,1895,,"Religion / Biblical Criticism & Interpretation / New Testament, Religion / Biblical Studies / Old Testament / Poetry & Wisdom Literature, Religion / Christianity / History, Bible -- Criticism, interpretation, etc -- History -- 18th century -- 19th century, Palestine -- Sources -- Biography",,,,"""Thomas Jefferson believed that the pure-principled teachings of Jesus should have been separated from the dogma and abuse of organized religion of the day. This led him to recast, by cutting and pasting from the gospels, a new narrative of the life and teachings of Jesus, where, according to Jefferson, """"there will be found remaining the most sublime and benevolent code of morals which has ever been offered to man.""""""",The Life and Morals of Jesus of Nazareth
N_2wAAAACAAJ,Bonecrack,"9780425208854, 0425208850",292,2006,Paperback,Berkley Books,English,Dick Francis,,1971,"Mystery, Fiction","Extortion -- Fiction -- England, Horse racing -- Fiction -- England -- Newmarket, Newmarket (Suffolk, England) -- Fiction, Threats -- Fiction -- England, Horse racing -- Fiction",,,,"In the middle of the night, two masked men break into Neil Griffon s home and abduct him. He quickly discovers that unless he agrees to their unreasonable demands, they will destroy his father s precious horses and racing stable and, ultimately, Neil himself. Returned to his father s stables, he must find a way to bring down these criminals. Because having to choose between his integrity and his life is no choice at all """,
